index,C#,CNAME,PERIOD,CREDIT,TEACHER
336,ENPO342003,储能原理与应用,48.0,3.0,"刘朝晖,杨冬,李明涛"
337,ENPO342003,储能原理与应用,48.0,3.0,"杨冬,刘朝晖,李明涛"
338,ENPO342103,先进制冷低温技术,56.0,3.0,"侯予,赖天伟,陈良,张兴群"
339,ENPO342103,先进制冷低温技术,56.0,3.0,"侯予,陈良,刘秀芳,刘晔"
340,ENPO342103,先进制冷低温技术,56.0,3.0,"侯予,刘秀芳,陈良,刘晔"
341,ENPO413103,流体热物性测试技术,56.0,3.0,"吴江涛,毕胜山,孟现阳,张可"
342,ENPO413203,换热器设计,48.0,3.0,"曾敏,马挺,钱苏昕,程志龙"
343,ENPO413303,透平机械流体动力学,48.0,3.0,何坤
344,ENPO420603,制冷与低温技术原理,52.0,3.0,"鱼剑琳,钱苏昕,厉彦忠,王磊,赵红利,刘晔,张兴群"
345,ENPO420603,制冷与低温技术原理,52.0,3.0,"赵日晶,黄东,文键,李翠,张兴群,刘晔"
346,ENPO420603,制冷与低温技术原理,52.0,3.0,"晏刚,白涛,蒲亮,马原,刘晔,张兴群"
347,ENPO420603,制冷与低温技术原理,52.0,3.0,"陈蕴光,谭宏博,刘晔,谢福寿,张兴群"
348,ENPO420703,流体机械原理,56.0,3.0,"王志恒,张楚华,林梅"
349,ENPO420703,流体机械原理,56.0,3.0,"琚亚平,张义云,林梅"
350,ENPO420703,流体机械原理,56.0,3.0,"秦国良,李景银,张楚华,林梅"
351,ENPO420803,热力发电厂,58.0,3.0,"吴东垠,韩小渠,王桂芳"
352,ENPO420803,热力发电厂,58.0,3.0,"赵全斌,王进仕,王桂芳"
353,ENPO420803,热力发电厂,58.0,3.0,"种道彤,王桂芳,刘明"
354,ENPO420803,热力发电厂,58.0,3.0,"刘继平,陈伟雄,王桂芳"
355,ENPO420903,压缩机原理与结构,52.0,3.0,"邢子文,吴伟烽,何志龙,王雷雷"
356,ENPO420903,压缩机原理与结构,52.0,3.0,"彭学院,郭蓓,王雷雷,薛绒"
357,ENPO420903,压缩机原理与结构,52.0,3.0,"吴建华,吴华根,殷翔,王雷雷"
358,ENPO420903,压缩机原理与结构,52.0,3.0,"冯健美,贾晓晗,宋昱龙,王雷雷"
359,ENPO420903,压缩机原理与结构,52.0,3.0,"曹锋,杨旭,王雷雷,张薇"
360,ENPO421003,发动机原理与构造,60.0,3.0,"王金华,刘圣华,李倩倩"
361,ENPO421003,发动机原理与构造,60.0,3.0,"刘兵,黄勇成,汤成龙,胡二江,杨锐"
362,ENPO421103,锅炉原理,56.0,3.0,"车得福,邓磊,张润霞"
363,ENPO421103,锅炉原理,56.0,3.0,"刘银河,牛艳青,张润霞"
364,ENPO421103,锅炉原理,56.0,3.0,"王长安,车得福,张润霞"
365,ENPO421103,锅炉原理,56.0,3.0,"牛艳青,王长安,张润霞"
366,ENPO421103,锅炉原理,56.0,3.0,"邓磊,刘银河,张润霞"
367,ENPO421203,汽轮机原理,56.0,3.0,"李军,晏鑫,刘观伟,张垲垣"
368,ENPO421203,汽轮机原理,56.0,3.0,"李亮,刘钊,刘观伟"
369,ENPO421203,汽轮机原理,56.0,3.0,"宋立明,李志刚,颜晓江,郭振东,陶志"
370,ENPO421203,汽轮机原理,56.0,3.0,"邓清华,谢永慧,施东波"
371,ENPO421303,汽车理论及构造,48.0,3.0,"汪映,王锡斌,黄勇成"
372,ENPO421303,汽车理论及构造,48.0,3.0,"魏衍举,王锡斌,黄勇成"
373,ENPO421403,新能源汽车动力与控制,52.0,3.0,"曾科,姜雪,杨博"
374,ENPO421403,新能源汽车动力与控制,52.0,3.0,"刘兵,姜雪,杨博"
375,ENPO421503,储能热流基础实验,16.0,0.5,"孟婧,邢张梦"
376,ENPO421603,储能热流基础,64.0,4.0,"何雅玲,席奂,李冬"
377,ENPO421703,传热传质学,56.0,3.0,"陶文铨,李增耀,屈治国,陈黎,方文振"
378,ENPO421803,热质储能技术及应用实验,16.0,0.5,"孟婧,邢张梦"
379,ENPO421903,热质储能技术及应用,40.0,2.5,"陶于兵,程泽东"
380,ENPO422003,流体力学III,32.0,2.0,"方嘉宾,蔡柳溪"
381,ENPO422103,工程热力学III,32.0,2.0,"孙杰,杨福胜,袁庆"
